"fuente","divipola","Municipio","Departamento","valor","nombre_del_proyecto","categoria","subcategoria","fecha_corte"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","35,000,000","Escuela virtual de Hip-Hop: “Bogotá Resiste”","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","35,000,000","-Socialización de la experiencia de un proceso co-creativo para la puesta en escena de una obra de danza- , optimizando el uso de herramientas tecnológicas para su seguimiento y documentación","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","35,000,000","Páramo Presenta Magistral: los aspectos claves para la realización de espectáculos exitosos","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","35,000,000","La Inclusión en Cuatro Formas de Expresión","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","35,000,000","GIROS, ARTE AL HABITARTE","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","35,000,000","Voces Emergentes","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","35,000,000","Desmontajes","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","35,000,000","SOMOS PARTE DEL ECOSISTEMA un reconocimiento a la labor del Roadie y del logístico.","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","35,000,000","PROYECTO PILOTO EXPERIMENTAL: ESCUELAS DE FORMACIÓN ARTÍSTICA VIRTUAL EFAV, GESTIÓN CULTURAL Y PATRIMONIAL, LOCALIDAD XV ANTONIO NARIÑO","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","35,000,000","VirtuArte a un clic de distancia","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","35,000,000","TransformArte con el Arte","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","35,000,000","Acompañamiento desde las artes a trabajadoras sexuales de la casa de
todas en el barrio Santafé.","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
